threshold,iou
0.43984924623115573,0.4715328830341705
0.44457286432160803,0.4724424204943685
0.44929648241206027,0.4735718903583377
0.4540201005025125,0.47443566840436463
0.4587437185929648,0.4752059052550946
0.46346733668341705,0.4760590606758149
0.4681909547738693,0.47681184413062777
0.4729145728643216,0.47762984825639215
0.47763819095477383,0.47859403094730196
0.4823618090452261,0.47926147950100667
0.4870854271356784,0.47999375820860585
0.4918090452261306,0.4804904948672936
0.49653266331658286,0.4814161728459804
0.5012562814070352,0.482038115927718
0.5059798994974873,0.4828274945271526
0.5107035175879396,0.48347318836246705
0.5154271356783919,0.48436853416629955
0.5201507537688442,0.48511573670736774
0.5248743718592964,0.4855958772319326
0.5295979899497487,0.4863026192229481
0.534321608040201,0.48704079485839546
0.5390452261306532,0.4872797634458419
0.5437688442211055,0.4878736064564667
0.5484924623115578,0.4882405048514355
0.55321608040201,0.4887368907337052
0.5579396984924623,0.48919867380064097
0.5626633165829146,0.48954765560411007
0.5673869346733668,0.48996415270667987
0.5721105527638191,0.4904806918040822
0.5768341708542714,0.4907783572543121
0.5815577889447235,0.4911136980985642
0.5862814070351758,0.49171407721247246
0.5910050251256281,0.4919871680880878
0.5957286432160803,0.4921605709188225
0.6004522613065326,0.49225480717585135
0.6051758793969849,0.4924088850549925
0.6098994974874371,0.4927035219399538
0.6146231155778894,0.4928538296515336
0.6193467336683417,0.4929348023708229
0.6240703517587939,0.4929667939237771
0.6287939698492462,0.4928971757207224
0.6335175879396985,0.49314866981957795
0.6382412060301507,0.4932580121104711
0.642964824120603,0.4935831374787773
0.6476884422110553,0.4932374122128318
0.6524120603015074,0.4931290982688315
0.6571356783919597,0.4928637821954364
0.661859296482412,0.4924594011147299
0.6665829145728642,0.49237306684982374
0.6713065326633165,0.4921996879875195
0.6760301507537688,0.492247796762248
0.680753768844221,0.4918523267617674
0.6854773869346733,0.4914670016545131
0.6902010050251256,0.4914172332113083
0.6949246231155778,0.491019582406721
0.6996482412060301,0.4903541338872569
0.7043718592964824,0.48960164258271244
0.7090954773869346,0.48925226350296597
0.7138190954773869,0.48865630483830536
0.7185427135678392,0.48812978209755675
0.7232663316582914,0.48765144638699237
0.7279899497487436,0.4867924827280218
0.732713567839196,0.48602449888641425
0.7374371859296481,0.4852656811825809
0.7421608040201004,0.4844345641758224
0.7468844221105527,0.48361012576588197
0.7516080402010049,0.4830555106004208
0.7563316582914572,0.48210704106407687
0.7610552763819095,0.4810567157366199
0.7657788944723618,0.47994925935019234
0.770502512562814,0.4790192840181748
0.7752261306532663,0.47777750286595577
0.7799497487437186,0.47632844642753663
0.7846733668341708,0.4748680875815364
0.7893969849246231,0.4731399789856402
0.7941206030150754,0.47137139316396764
0.7988442211055276,0.46978821471226473
0.8035678391959798,0.46828526791369335
0.8082914572864321,0.46653324627087167
0.8130150753768843,0.46485791633323686
0.8177386934673366,0.4625533333903363
0.8224623115577889,0.45987211946959616
0.8271859296482411,0.4577811859178715
0.8319095477386934,0.4555169996798228
0.8366331658291457,0.45302062975027146
0.8413567839195979,0.450529896637446
0.8460804020100502,0.44752397215289635
0.8508040201005025,0.4443077247598372
0.8555276381909547,0.4412338206619081
0.860251256281407,0.43774026112065756
0.8649748743718593,0.43423719772403985
0.8696984924623115,0.43053125780998963
0.8744221105527638,0.42703395374261827
0.879145728643216,0.422391605622649
0.8838693467336682,0.41776624972886994
0.8885929648241205,0.41275240842540684
0.8933165829145728,0.4078749624286144
0.898040201005025,0.40278667227782555
0.9027638190954773,0.39741175822258146
0.9074874371859296,0.3910722189436412
0.9122110552763818,0.38476927921753146
0.9169346733668341,0.37822146964142833
0.9216582914572864,0.37057559334703793
0.9263819095477386,0.36183203238744704
0.9311055276381909,0.3527785900931071
0.9358291457286432,0.34372484587922236
0.9405527638190954,0.33271801703220893
0.9452763819095477,0.3212523900573614
0.95,0.3094821956747206
